sale_id,customer_id,product_id,quantity,total_price,sale_date,sale_price,product_name,category,price,customer_name,email,phone,address,city,country,registration_date
4,49,47,3,1342.41,2025-01-27,447.47,Authority Development,Books,447.47,Nathaniel Villanueva,myoung@example.net,(427)623-7697x43959,"2525 Jacob Parkways Apt. 521, West Jacobberg, WY 69086",West Danielville,Italy,2022-02-18
5,18,5,6,325.68,2025-01-15,54.28,Item Control,Books,54.28,Taylor Dixon,kevinmoore@example.org,537-626-2962x396,"543 Spencer Turnpike Apt. 161, Lake Michelemouth, RI 85105",Hannahhaven,Senegal,2022-01-18
44,21,5,3,162.84,2025-01-12,54.28,Item Control,Books,54.28,Charles White,matthew94@example.org,373.636.3544,"99414 Stewart Corners Apt. 499, East Leslieview, OK 85886",South Beverly,Zambia,2022-01-21
31,21,22,2,211.94,2025-01-17,105.97,Discuss Court,Books,105.97,Charles White,matthew94@example.org,373.636.3544,"99414 Stewart Corners Apt. 499, East Leslieview, OK 85886",South Beverly,Zambia,2022-01-21
41,21,42,7,855.26,2025-01-07,122.17999999999999,Floor Concern,Electronics,122.18,Charles White,matthew94@example.org,373.636.3544,"99414 Stewart Corners Apt. 499, East Leslieview, OK 85886",South Beverly,Zambia,2022-01-21
6,39,36,1,303.16,2025-01-24,303.16,Yeah Race,Toys,303.16,Mathew Jones,rushlaura@example.org,(347)895-6695x461,"029 Samantha Mews, South Coryland, RI 63750",East Paultown,Monaco,2022-02-08
11,39,32,9,2880.63,2025-01-03,320.07,Pattern Need,Toys,320.07,Mathew Jones,rushlaura@example.org,(347)895-6695x461,"029 Samantha Mews, South Coryland, RI 63750",East Paultown,Monaco,2022-02-08
21,39,12,9,2229.75,2025-01-15,247.75,Company Fund,Electronics,247.75,Mathew Jones,rushlaura@example.org,(347)895-6695x461,"029 Samantha Mews, South Coryland, RI 63750",East Paultown,Monaco,2022-02-08
7,16,7,10,2655.8,2025-01-16,265.58000000000004,Leader Finish,Toys,265.58,Austin Farmer,ibarradean@example.org,001-900-730-9696,"27320 Ross Grove, East Vincent, OK 82992",New Loritown,Bosnia and Herzegovina,2022-01-16
14,46,7,8,2124.64,2025-01-22,265.58,Leader Finish,Toys,265.58,Jessica Howard,freyronald@example.org,+1-860-800-2423x93839,"87612 Christopher Bypass, Harrishaven, IL 81231",Kingchester,Albania,2022-02-15
13,46,18,5,2045.05,2025-01-03,409.01,Deal Look,Books,409.01,Jessica Howard,freyronald@example.org,+1-860-800-2423x93839,"87612 Christopher Bypass, Harrishaven, IL 81231",Kingchester,Albania,2022-02-15
19,46,50,5,1385.2,2025-01-11,277.04,Raise Will,Clothing,277.04,Jessica Howard,freyronald@example.org,+1-860-800-2423x93839,"87612 Christopher Bypass, Harrishaven, IL 81231",Kingchester,Albania,2022-02-15
28,46,48,5,43.25,2025-01-02,8.65,Exist Expert,Clothing,8.65,Jessica Howard,freyronald@example.org,+1-860-800-2423x93839,"87612 Christopher Bypass, Harrishaven, IL 81231",Kingchester,Albania,2022-02-15
26,41,7,6,1593.48,2025-01-25,265.58,Leader Finish,Toys,265.58,Dennis Lopez,mitchelldawn@example.com,4233815154,"520 Mccoy Gardens Apt. 258, Thomaston, WI 65549",Lake Patriciastad,Heard Island and McDonald Islands,2022-02-10
39,41,12,2,495.5,2025-01-27,247.75,Company Fund,Electronics,247.75,Dennis Lopez,mitchelldawn@example.com,4233815154,"520 Mccoy Gardens Apt. 258, Thomaston, WI 65549",Lake Patriciastad,Heard Island and McDonald Islands,2022-02-10
9,30,26,1,25.77,2025-01-14,25.77,She Cover,Toys,25.77,Christopher Foster,christopher04@example.org,(706)682-7912x185,"8126 Harris Haven Apt. 733, Bellland, NC 03372",South Carolynfort,Uruguay,2022-01-30
23,30,6,4,977.2,2025-01-05,244.3,Of Natural,Electronics,244.3,Christopher Foster,christopher04@example.org,(706)682-7912x185,"8126 Harris Haven Apt. 733, Bellland, NC 03372",South Carolynfort,Uruguay,2022-01-30
15,44,26,7,180.39,2025-01-14,25.77,She Cover,Toys,25.77,Tamara Hicks,youngstephanie@example.net,+1-881-873-7898x4862,"84748 Paula Dam Apt. 853, South Gina, MI 88620",West Donaldmouth,Philippines,2022-02-13
29,44,15,4,1710.44,2025-01-17,427.61,Major Couple,Electronics,427.61,Tamara Hicks,youngstephanie@example.net,+1-881-873-7898x4862,"84748 Paula Dam Apt. 853, South Gina, MI 88620",West Donaldmouth,Philippines,2022-02-13
32,7,26,7,180.39,2025-01-15,25.77,She Cover,Toys,25.77,David Bailey,robertdalton@example.org,578-935-8152x68498,"219 Delgado Harbors Apt. 119, North Jerry, MP 56068",East Tinaside,Paraguay,2022-01-07
47,7,30,7,2700.11,2025-01-01,385.73,Condition Use,Home Appliances,385.73,David Bailey,robertdalton@example.org,578-935-8152x68498,"219 Delgado Harbors Apt. 119, North Jerry, MP 56068",East Tinaside,Paraguay,2022-01-07
33,28,32,8,2560.56,2025-01-20,320.07,Pattern Need,Toys,320.07,Ashley Elliott,csanders@example.org,(215)618-0297,"0379 Kathy Drives, North John, NJ 93353",North Adam,Cuba,2022-01-28
16,1,12,9,2229.75,2025-01-24,247.75,Company Fund,Electronics,247.75,Monica Velasquez,sextonbrian@example.net,(305)248-1660x357,"09620 Emily Stream Suite 086, North Jessicastad, NH 94108",East Ashleyton,Mongolia,2022-01-01
27,1,14,5,690.0,2025-01-24,138.0,Or Too,Toys,138.0,Monica Velasquez,sextonbrian@example.net,(305)248-1660x357,"09620 Emily Stream Suite 086, North Jessicastad, NH 94108",East Ashleyton,Mongolia,2022-01-01
18,32,16,3,276.48,2025-01-01,92.16000000000001,Wear Forward,Electronics,92.16,Joshua Padilla,williammorgan@example.org,277-805-7954x962,"Unit 5331 Box 6983, DPO AP 56298",Tuckerhaven,Vanuatu,2022-02-01
20,34,41,4,500.24,2025-01-26,125.06,Artist Catch,Clothing,125.06,Chelsea Graham,calderonbeverly@example.org,(561)212-4505,"876 Donna Ville Apt. 674, New Shaneburgh, TX 57452",Port Katherinefurt,Tokelau,2022-02-03
24,37,13,2,592.2,2025-01-03,296.1,World Court,Clothing,296.1,Christian Valenzuela,lynneddie@example.org,860.656.7429,"50924 Mckinney Shoal Apt. 717, South Haley, KS 64509",East Steven,Mongolia,2022-02-06
46,37,2,10,2219.6,2025-01-16,221.95999999999998,Language Cut,Home Appliances,221.96,Christian Valenzuela,lynneddie@example.org,860.656.7429,"50924 Mckinney Shoal Apt. 717, South Haley, KS 64509",East Steven,Mongolia,2022-02-06
25,48,28,9,1387.71,2025-01-18,154.19,Hotel Success,Toys,154.19,Anthony Cobb,downsmegan@example.net,3377592430,"545 Gomez Shores Apt. 989, Jonesstad, NJ 33288",Kennethshire,Haiti,2022-02-17
35,48,10,8,161.6,2025-01-11,20.2,Key Section,Toys,20.2,Anthony Cobb,downsmegan@example.net,3377592430,"545 Gomez Shores Apt. 989, Jonesstad, NJ 33288",Kennethshire,Haiti,2022-02-17
50,48,49,4,986.32,2025-01-16,246.58,Business Heavy,Electronics,246.58,Anthony Cobb,downsmegan@example.net,3377592430,"545 Gomez Shores Apt. 989, Jonesstad, NJ 33288",Kennethshire,Haiti,2022-02-17
40,12,14,7,966.0,2025-01-18,138.0,Or Too,Toys,138.0,Joshua Chen,gsanchez@example.net,3626774991,"197 Martinez Dale, Churchville, NC 62139",North Mikaylastad,Botswana,2022-01-12
49,31,48,5,43.25,2025-01-13,8.65,Exist Expert,Clothing,8.65,Randy Oneill,haleyhall@example.com,001-481-302-5586x1806,"53012 Sherry Grove Suite 576, Caseystad, VA 30585",Lawrencefort,Kazakhstan,2022-01-31
30,19,9,10,2841.6,2025-01-25,284.15999999999997,Us Agent,Clothing,284.16,Johnny Wood,jenniferparker@example.com,001-574-827-0989x719,"6560 Fernandez Walks Suite 768, West Kaylaton, AR 23136",Jennyport,Timor-Leste,2022-01-19
34,11,44,1,280.53,2025-01-03,280.53,Gas Financial,Clothing,280.53,Christina Camacho,droberts@example.com,485-644-3524,"452 Young Trail, Lake Joseph, IN 41047",Phillipston,Mongolia,2022-01-11
38,11,35,3,1467.51,2025-01-16,489.17,Candidate Source,Home Appliances,489.17,Christina Camacho,droberts@example.com,485-644-3524,"452 Young Trail, Lake Joseph, IN 41047",Phillipston,Mongolia,2022-01-11
42,22,20,8,3420.08,2025-01-20,427.51,Whom But,Books,427.51,Diamond Rasmussen DDS,gary71@example.org,001-599-854-6550x6988,"Unit 6833 Box 5295, DPO AA 12880",Morrowport,Western Sahara,2022-01-22
43,6,38,3,1487.34,2025-01-20,495.78,Gun Fund,Clothing,495.78,Jennifer Pace,morganjustin@example.net,306.232.7907,"USNV Robertson, FPO AA 43544",Mollyview,Nepal,2022-01-06
